houres, hours,'’
howlings,'’,'’
humilitie, humility,'’
hundreths, hundredths,'’
hurle, hurl,'’
Hymeneus,'’,'’
Hymettus,'’,'’
Hyppanius, '',[character] chamberlain
Hyppodame, Hippodamia,'’
I,'’,'’
Icarus,'’,'’
Idea,'’,'’
idley, idly,'’
ignoras, '', [latin]
Ihones,'’,'’
ihr, '', [german]
ile, isle,'’
ill favoured, ill-favored,'’
ill-favoured,'’,'’
ille, '', [latin]
imagin, imagine,'’
imbrace, embrace,'’
imbraced, embraced,'’
imbracing, embracing,'’
immediatelie, immediately,'’
immediatly, immediately,'’
immortall, immortal,'’
impatiencie, impatience,'’
impatiency, impatience,'’
importunitie, importunity,'’
impoysoned, empoisoned,'’
in, '', [latin]
Inachus,'’,'’
inchanted, enchanted,'’
inchantment, enchantment,'’
inchantments, enchantments,'’
inchauntments, enchantments,'’
inconcinne, '', [latin]
incondite, '', [latin]
incorporeall, incorporeal,'’
incouraged, encouraged,'’
incurre, incur,'’
indeavour, endeavour,'’
indeavoured, endeavoured,'’
indeavouring, endeavouring,'’
Indian,'’,'’
Indians,'’,'’
indued, endued, endowed
indurance, endurance,'’
inequitabat, '', [latin]
infernall, infernal,'’
inforce, enforce,'’
inforced, enforced,'’
ingender, engender,'’
ingendered, engendered,'’
ingestis, '', [latin]
ingraven, engraven,'’
ingrossed, engrossed,'’
inhabitest,'’,'’
inhabiteth,'’,'’
inheretrix, inheritrix,'’
inheritour, inheritor,'’
initiall, initial,'’
inke, ink,'’
inne, inn,'’
innocencie, innocence,'’
inopinata, '', [latin]
insolencie, insolency,'’
insolency,'’,'’
insolitum, '', [latin]
insperata, '', [latin]
inspiration1, inspirationa1,'’
intangled, entangled,'’
intangleth, entangleth,'’
intempesta, '', [latin]
intend, '', [latin]
intende, intend,'’
intendeth,'’,'’
interiour, interior,'’
internet,'’,'’
intersparsed, interspersed,'’
intised, enticed,'’
intrailes, entrailes,'’
intrals, entrails,'’
intreat, entreat,'’
intreate, intreat,'’
inventeth,'’,'’
invigilant, unvigilant,'’
invironed, environed,'’
Iolianus,'’,'’
Ionia,'’,'’
Iphigenia,'’,'’
Isis,'’,'’
Isthmia,'’,'’
isto, '', [latin]
istum, '', [latin]
Italy,'’,'’
iustice, justice,'’
ivie, ivy,'’
jack-in-office,'’,'’
Jacques,'’,'’
jacques, '', [french]
jam, '', [latin]
January,'’,'’
javelings, javelins,'’
jawes, jaws,'’
jealousie, jealousy,'’
jeast, jest,'’
jeasts, jests,'’
jenets, jennets,'’
Johnson,'’,'’
jolity, jollity,'’
jote, jot, the least bit
journey-work, journeywork,'’
journies, journeys,'’
journy, journey,'’
Jove,'’,'’
joye, joy,'’
joyes, joys,'’
joyfull, joyful,'’
joyned, joined,'’
jubaris, '', [latin]
jubulis, '', [latin]
jugler, juggler,'’
Julia,'’,'’
July,'’,'’
junkets,'’, sweets
Juno,'’,'’
Jupiter,'’,'’
kackling, cackling,'’
keene, keen,'’
keepe, keep,'’
keepest,'’,'’
keepeth,'’,'’
keyes, keyes,'’
kicke, kick,'’
kiddes, kids,'’
kild, killed,'’
kinde, kind,'’
kindes, kinds,'’
kindnesse, kindness,'’
kinne, kin,'’
kinsfolke, kinsfolk,'’
kirnels, kernels,'’
kisse, kiss,'’
kisseth,'’,'’
kitchin, kitchen,'’
kitish,'’,'’
knocke, knock,'’
knockt, knocked,'’
knowest,'’,'’
knoweth,'’,'’
knowne, known,'’
knowst,'’,'’
krippins,'’, [neologism] crippe
la, '', [french]
laboureur, '', [latin]
Lacedemon,'’,'’
lacertum, '', [latin]
laciniam, '', [latin]
lacinias, '', [latin]
lacke, lack,'’
lacketh,'’,'’
ladde, lad,'’
laetaberis, '', [latin]
laiden, laden,'’
Lamathus,'’,'’
lambe, lamb,'’
lamenesse, lameness,'’
lampe, lamp,'’
lancknesse, lankness,'’
lanternes, lanterns,'’
Lapithes, 'Lapiths','’
laqueo, '', [latin]
Larissa,'’,'’
laske,'’, diarrhea
lasne, '', [french]
lassititdo, '', [latin]
Latin,'’,'’
latin,'’,'’
Latine,'’,'’
laugheth,'’,'’
lawfull, lawful,'’
lawlesse, lawless,'’
lawne, lawn,'’
lawrel, laurel,'’
lawrell, laurel,'’
layd, laid,'’
layeth,'’,'’
le, '', [french]
lead, led,'’
leade, lead,'’
leape, leap,'’
learne, learn,'’
